Matrix_id,0
ALX3,0.0001324580557727494
ARGFX,0.00020560653433382
ARNT2,0.0005713489271391729
ARNT::HIF1A,0.0003548689703165451
ASCL1,0.005534572046803164
ATF2,0.0004527297727158152
ATF3,0.0004260404629705597
ATF4,0.0003054443226401461
ATF6,0.0005693719412321169
ATF7,0.0003706848575729928
ATOH7,0.0006454858986537714
Ahr::Arnt,0.0006622902788637471
Alx1,0.00021450297091557183
Alx4,0.00027776651994136257
Ar,0.0007334617715177617
Arid3a,0.0002520657031496351
Arid3b,0.0002510772101961071
Arid5a,0.00020659502728734798
Arnt,0.00047941908246107066
Arntl,0.0007364272503783457
Arx,0.0002836974776625305
Ascl2,0.0025008871724257913
Atf1,0.00028567446356958645
Atf3,0.0006039691946055963
Atoh1,0.000976631038085645
BACH1,0.0004033051250394162
BACH2,0.0011130430656725063
BARHL1,0.0002263648863579076
BARHL2,0.00020758352024087597
BARX1,0.00016606681619270078
BARX2,0.00014629695712214114
BATF,0.0007008415040513383
BATF3,0.0006099001523267642
BATF::JUN,0.000561463997603893
BCL11A,0.001183226065372993
BCL6,0.0006652557577243311
BCL6B,0.0006187965889085159
BHLHA15,0.0003865007448294405
BHLHE22,0.0025493233271486624
BHLHE23,0.0001799057175420925
BHLHE40,0.0006998530110978103
BHLHE41,0.0009479647424333336
BNC2,0.0008955746158963506
BSX,0.00016606681619270078
Bach1::Mafk,0.0011713641499306571
Bcl11B,0.0005555330398827251
Bhlha15,0.001901860442587835
CDX1,0.00026887008335961076
CDX2,0.0003054443226401461
CDX4,0.00027677802698783464
CEBPA,0.00037365033643357675
CEBPB,0.00038254677301532855
CEBPD,0.0004893040119963505
CEBPE,0.00038155828006180057
CEBPG,0.0006306585043508518
CLOCK,0.0005812338566744527
CREB1,0.0005387286596727495
CREB3,0.00040725909685352806
CREB3L1,0.0006939220533766425
CREB3L4,0.0014293608108014602
CREM,0.0007789324473800489
CTCF,0.010028261013541364
CTCFL,0.0034705987598367405
CUX1,0.0001640898302856448
CUX2,0.0001897906470773723
Creb3l2,0.0006632787718172751
Creb5,0.00026887008335961076
Crx,0.00013146956281922146
DBP,0.00021351447796204385
DLX1,0.0001324580557727494
DLX6,0.0001324580557727494
DMRT3,0.00023229584407907547
DMRTA1,0.0002204339286367397
DMRTA2,0.00021845694272968374
DMRTC2,0.00023130735112554751
DPRX,0.00024613474542846723
DRGX,0.0001324580557727494
DUX4,0.000257996660870803
DUXA,0.00029457090015133825
Ddit3::Cebpa,0.0005407056455798055
Dlx2,0.0002817204917554745
Dlx3,0.0001324580557727494
Dlx4,0.0001324580557727494
Dlx5,0.0002728240551737227
Dmbx1,0.00023229584407907547
Dmrt1,0.00029061692833722637
Dux,0.0003123637733148419
E2F1,0.001597404612901217
E2F2,0.0012138693469323605
E2F3,0.0004754651106469588
E2F4,0.0013670857547291974
E2F6,0.003247199352339417
E2F7,0.0006662442506778591
E2F8,0.0026372992000126528
EBF1,0.0032640037325493924
EBF3,0.0030445582968661807
EGR1,0.005495032328662045
EGR2,0.0028646525793240884
EGR3,0.004607365656393919
EGR4,0.005260759498675913
EHF,0.002197419835692701
ELF1,0.0020649617799199517
ELF2,0.0016507832323917279
ELF3,0.0022419020186014603
ELF4,0.0017605059502333337
ELK1,0.0013581893181474456
ELK1::HOXA1,0.0014026715010562046
ELK1::HOXB13,0.0009578496719686133
ELK1::SREBF2,0.001229685234188808
ELK3,0.0015806002326912412
ELK4,0.0020876971178510955
EMX1,0.0001324580557727494
EMX2,0.0001324580557727494
EN1,0.0001324580557727494
EN2,0.00023130735112554751
EOMES,0.0005298322230909977
EPAS1,0.0008965631088498786
ERF,0.0012682364593763994
ERF::FIGLA,0.0018059766260956208
ERF::FOXI1,0.0015519339370389299
ERF::FOXO1,0.0008540579118481754
ERF::HOXB13,0.0005753028989532848
ERF::NHLH1,0.0017753333445362535
ERF::SREBF2,0.0005555330398827251
ESR1,0.001123916488161314
ESR2,0.0016013585847153289
ESRRA,0.0005703604341856449
ESRRB,0.0005021544203922142
ESX1,0.0001650783232391728
ETS1,0.0014105794446844285
ETS2,0.0015796117397377132
ETV1,0.0017100928096034067
ETV2,0.0015193136695725064
ETV2::DRGX,0.0005288437301374697
ETV2::FIGLA,0.0022389365397408765
ETV2::FOXI1,0.0013492928815656937
ETV2::HOXB13,0.0004942464767639904
ETV3,0.00102309020690146
ETV4,0.0016013585847153289
ETV5,0.001437268754429684
ETV5::DRGX,0.0007898058698688566
ETV5::FIGLA,0.0022715568072073
ETV5::FOXI1,0.0011940994878618008
ETV5::FOXO1,0.0008767932497793189
ETV5::HOXA2,0.0007591625883094892
