recipe,cell,selection,target_mean,target_std,target_count,composite_mean,composite_std,composite_count,shannon_mean,shannon_std,shannon_count,motif_corr_mean,motif_corr_std,motif_corr_count
argmax_K4,K562,top128_by_target,5.458176708221435,0.0831315400963995,5,4.783958482742309,0.0486270021538627,5,1.2525376470640002,0.0589285802519387,5,0.9247313348143562,0.0278800935427753,5
argmax_K4,K562,top128_greedy_hamming_archive,5.753110599517822,0.0548973438029923,5,4.842933142185212,0.121791482070633,5,1.3559680856187744,0.116136567431218,5,0.9348997251888392,0.0165486237026959,5
argmax_K4,K562,top128_map_dpp_archive,5.392364597320556,0.0509060947902219,5,4.935929787158966,0.0477379277594981,5,1.5459065952456408,0.0667762105436386,5,0.9423716448109636,0.0078110678336626,5
argmax_K4,K562,top128_unique_archive_by_composite,5.5456770896911625,0.0607726006843043,5,5.137414216995239,0.051595741431222,5,1.1973123470489018,0.1073471486807798,5,0.9206110859905448,0.0199096983900536,5
argmax_K4,THP1,top128_by_target,3.3425810813903807,0.0575101149037907,5,2.333950018882752,0.0745850535695713,5,1.591029664984425,0.0366797048568103,5,0.8660293881600054,0.0341937857386681,5
argmax_K4,THP1,top128_greedy_hamming_archive,3.726528453826904,0.0544167609417267,5,2.281696557998657,0.1099392122534911,5,1.5417716702397926,0.0498140966956698,5,0.8745058600539014,0.0299267930439237,5
argmax_K4,THP1,top128_map_dpp_archive,3.082759380340576,0.0487446672778211,5,2.771711748838425,0.0413934940952326,5,1.6860233709720902,0.039164980228937,5,0.8857978049633513,0.0385875945340141,5
argmax_K4,THP1,top128_unique_archive_by_composite,3.195112371444702,0.111987946890987,5,2.958850345015526,0.0349082286795883,5,1.404444429622341,0.073736051560098,5,0.8589171341028534,0.0337965691501074,5
argmax_K8,K562,top128_by_target,5.545824718475342,0.0227441536884728,5,4.878178429603577,0.0350251437634485,5,1.3173709528980888,0.067285244111155,5,0.9422118672859792,0.0111562427077391,5
argmax_K8,K562,top128_greedy_hamming_archive,5.801949119567871,0.0358491538224723,5,4.970564818382263,0.0723635913734154,5,1.3467953503006047,0.0846526135246962,5,0.9434372008418612,0.0098259876174046,5
argmax_K8,K562,top128_map_dpp_archive,5.474105262756348,0.0228927953226473,5,5.033249074220658,0.021467001014049,5,1.501185814638893,0.0587222929415294,5,0.9486024525904152,0.0065753696409392,5
argmax_K8,K562,top128_unique_archive_by_composite,5.605545616149902,0.0275300925792212,5,5.225854122638703,0.0407047409857876,5,1.1675653584133423,0.1782686753339304,5,0.9335696215023654,0.018200547635119,5
argmax_K8,THP1,top128_by_target,3.5224576950073243,0.0885776837943723,5,2.458717465400696,0.0212885899188512,5,1.4427426789657536,0.1476286930504105,5,0.8683345443583675,0.0277994709429517,5
argmax_K8,THP1,top128_greedy_hamming_archive,3.83860764503479,0.1008068591816618,5,2.358213782310486,0.0444914857439485,5,1.5209402124560378,0.0804925805790944,5,0.8581082689833377,0.0289191839172157,5
argmax_K8,THP1,top128_map_dpp_archive,3.204956817626953,0.1228033174698888,5,2.908207508921623,0.0449460615873939,5,1.64810762352137,0.0372902147015433,5,0.8873376094366288,0.0287694548086447,5
argmax_K8,THP1,top128_unique_archive_by_composite,3.3238943576812745,0.1085589378889943,5,3.102597397565842,0.0431091258106853,5,1.197172792956538,0.250335684076943,5,0.8289509838043049,0.056100901129498,5
argmax_K8_JURKAT,JURKAT,top128_by_target,7.279574012756347,0.1777894529462033,5,5.852338576316834,0.1655498120077726,5,1.4000170002237753,0.1477985573126057,5,0.9237362352885764,0.0072582548020837,5
argmax_K8_JURKAT,JURKAT,top128_greedy_hamming_archive,7.670726680755616,0.0638353919538559,5,6.0738341331481935,0.1343014909066328,5,1.3593642703033504,0.1631071375931362,5,0.919929114072108,0.0118673257318897,5
